id,latitude,longitude,status,place_name,address,description,radius,allow_parking,allow_deployment,current_occupancy,vehicle_types,min_deployment_cap,min_reason,max_deployment_cap,max_parking_cap,threshold,pin_type,image_url,downstream_revenue
AJGZ7UXAQ5TQU,35.697687,139.836156,active,亀戸7丁目貸地,東京都江東区亀戸7-12-3,"",20.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/VHIRSTVG72FWIWHW,0.0
GQQT26FE46XFN,35.657469,139.740469,active,東麻布レジデンス,東京都港区東麻布2-14-15,"",20.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/LIPG5LTEY5VNPLF5,3.050929
4NH4JVIMIQZOB,35.738466,139.773928,active,ミキハイツ,東京都荒川区荒川5-22-5ミキハイツ,"",20.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/XEMHQWNRS6DNSUSU,0.0
XXS4D65SK7QXI,35.649782,139.720188,active,【三井のリパーク】広尾5丁目ポート,東京都渋谷区広尾5-17-11,"",25.0,true,true,2,scooter,16,gr,16,31,31,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/BWTKAJVIOL6BAXE4,0.0
U63KF4BV4T4ZH,35.711258,139.699956,active,高田馬場駐車場,東京都新宿区高田馬場4-20,"",15.0,true,true,8,scooter,9,gr,9,15,15,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/TQFLDYTRDZWUHNNF,0.0
JB33CRF2VCM6G,35.713106,139.703219,active,高田馬場4丁目駐車場,東京都新宿区高田馬場4-10-14,"",25.0,true,true,0,scooter,12,gr,12,20,20,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/QL4P7HRGFI7R3A7N,0.538981
4ZJZ4R4PROVWB,35.670206,139.767295,active,【三井のリパーク】銀座4丁目第4ポート,東京都中央区銀座4-10-6,"",50.0,true,true,2,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/GVIEBDGRQRLBV6K7,0.146925
A2NWQLNPSI3JE,35.622336,139.707876,active,シャトーレ小野,東京都品川区小山2-1-9パソム小山,"",15.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/WOGNZLHONLUZRW6V,0.0
TBEID2AOH54XE,35.608945,139.73765,active,ボヤージュ南品川,東京都品川区南品川6-15,"",15.0,true,true,10,scooter,7,gr,7,11,11,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/CY3NMFWHJYT73WYR,0.0
6YI2Q6FGYX65Y,35.725277,139.830463,active,八広６丁目貸駐車場Ｃ NO9,東京都墨田区八広6-48-9,"",15.0,true,true,4,scooter,6,gr,6,10,10,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/MO3DJ23SVXRPUDDO,0.0
PQTZD5LKH7AR2,35.708898,139.80664,active,Dパーキング吾妻橋３丁目第１,東京都墨田区吾妻橋3-6-10,"",25.0,true,true,3,scooter,10,gr,10,17,17,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/4R2U2UEDV6SSAKBD,1.593667
WVG62XQLGMNVT,35.735037,139.676069,active,ARESIA旭丘2,東京都練馬区旭丘1-48,"",15.0,true,true,3,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/IE77RG5GH6D62QCE,0.0
NLTBU5WH45SQW,35.729311,139.783951,active,第二吉福ビル,東京都荒川区東日暮里2-47-1,"",15.0,true,true,6,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/Z6JHAETLXGCHCOO4,0.0
FR5RB4HVCLUJT,35.67799,139.666918,active,渋谷区笹塚３丁目個人宅正面,東京都渋谷区笹塚3-38-2,"",15.0,true,true,2,scooter,3,gr,3,4,4,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/PZ4BVUHATFHOYHMB,0.196335
YMUSEH6NOJJQU,35.68878,139.683054,active,ソシエ建物正面,東京都渋谷区本町3-8-7,"",15.0,true,true,2,scooter,7,gr,7,11,11,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/DQA7UNVSLIO3SMA4,0.977896
QL7PTQ5YDR2NI,35.703464,139.690579,active,RAMli北新宿　ゴミ捨て場横,東京都新宿区北新宿3-18-3,"",15.0,true,true,7,scooter,4,gr,4,7,7,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/CYAJ22WXGGE5CX7R,0.0
X7A32KEDINEAL,35.715534,139.688614,active,アウローラ新宿 駐車場,東京都新宿区中落合1-17−13,"",15.0,true,true,6,scooter,4,gr,4,7,7,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/2FEWKEALEL4GZMJW,1.314663
HSV6XMIRLVZBN,35.704029,139.658921,active,杉並区高円寺南５丁目ポート,東京都杉並区高円寺南5-37−3,"",15.0,true,true,1,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/RBTUVZFZSUVQDUPG,0.0
3EYG4EFXZSLC7,35.694822,139.660421,active,杉並区和田３丁目ポート,東京都杉並区和田3-1-5,"",15.0,true,true,5,scooter,6,gr,6,9,9,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/PGCT2WZI6FZYUMGZ,0.0
TYDQTJCA7ZQM7,35.666486,139.615631,active,世田谷区八幡山個人宅自販機横,東京都世田谷区八幡山3-22-29,"",15.0,true,true,0,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/PUF4GH325YE5CLU4,0.0
JB53H4VZH7J3M,35.667878,139.663732,active,大原1丁目ポート,東京都世田谷区大原1-6-8,"",15.0,true,true,3,scooter,4,gr,4,6,6,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/REVKEHXU4MDNMABT,0.18128
ZNI7IJLCXC2MY,35.667103,139.645125,active,ハウジング明大前　正面,東京都世田谷区松原3-38-2,"",15.0,false,false,1,scooter,0,"",7,11,11,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/HAKRIIGPPR73LAHW,0.375714
MWXCWGDWJQNUB,35.644913,139.632617,active,桜丘1丁目ポート,東京都世田谷区桜丘1-17-17,"",15.0,true,true,3,scooter,2,gr,2,3,3,standard,https://limebike-web-public-assets.s3.us-west-1.amazonaws.com/placement_pins/F7PHD3YAPG2E24IS,0.0
